2105	S	CAÑADA RICA 
2107	S	ALVAREZ 
2109	S	ACEBAL 
2111	S	FRANCISCO PAZ 
2113	S	PEYRANO 
2115	S	COLONIA VALDEZ 
2117	S	ALCORTA 
2119	S	ARMINDA 
2121	S	PEREZ 
2123	S	CAMPO CALVO 
2124	S	22 DE MAYO 
2126	S	ALVEAR 
2128	S	ARROYO SECO 
2132	S	AERO CLUB ROSARIO 
2134	S	ROLDAN 
2136	S	SAN GERONIMO 
2138	S	CARCARAÑA 
2142	S	CAMPO MEDINA 
2144	S	CAMPO HORQUESCO 
2146	S	CLASON 
2147	S	SAN GENARO NORTE 
2148	S	CAMPO CASTRO 
2152	S	GRANADERO BAIGORRIA 
2154	S	CAPITAN BERMUDEZ 
2156	S	ARSENAL DE GUERRA SAN LORENZO 
2170	S	CANDELARIA SUD 
2173	S	CAMPO PESOA 
2175	S	BARLETT 
2177	S	BIGAND 
2179	S	BOMBAL 
2181	S	LOS MOLINOS 
2183	S	AREQUITO 
2185	S	CAMPO CRENNA 
2187	S	ARTEAGA 
2200	S	LAS QUINTAS 
2201	S	RICARDONE 
2202	S	CERANA 
2204	S	JESUS MARIA 
2206	S	CAMPO PALETTA 
2208	S	GABOTO 
2212	S	CAMPO GALLOSO 
2214	S	ALDAO 
2216	S	CAMPO RAFFO 
2218	S	CARRIZALES 
2222	S	DIAZ 
2240	S	CAMPO GARCIA 
2241	S	LARRECHEA 
2242	S	ARIJON 
2246	S	BARRANCAS 
2248	S	BERNARDO DE IRIGOYEN 
2252	S	COLONIA CAMPO PIAGGIO 
2253	S	CAMPO GIMENEZ 
2255	S	CAMPO RODRIGUEZ 
2257	S	COLONIA BELGRANO 
2258	S	CAMPO QUIÑONES 
2300	S	COLONIA BELLA ITALIA 
2301	S	BELLA ITALIA 
2303	S	ANGELICA 
2305	S	LEHMANN 
2307	S	ATALIVA 
2309	S	COLONIA REINA MARGARITA 
2311	S	ADOLFO ALSINA 
2313	S	COLONIA BERLIN 
2315	S	ESTACION SAGUIER 
2317	S	CASABLANCA 
2318	S	AURELIA 
2322	S	CABAÑA EL CISNE 
2324	S	COLONIA TACURALES 
2326	S	BEALISTOCK 
2340	S	CERES 
2341	S	COLONIA MONTEFIORE 
2342	S	CAMPO EL MATACO 
2344	S	ACHAVAL RODRIGUEZ 
2345	S	CAMPO BOTTO 
2347	S	COLONIA MACKINLAY 
2349	S	COLONIA DOS ROSAS Y LA LEGUA 
2352	S	AMBROSETTI 
2400	S	VILLANI 
2401	S	CASTELAR 
2403	S	BAUER Y SIGEL 
2405	S	COLONIA CELLO 
2407	S	CAMPO CLUCELLAS 
2409	S	ESTRADA 
2415	S	DESVIO BOERO 
2438	S	FRONTERA 
2440	S	BARRIO BELGRANO ORTIZ 
2441	S	CRISPI 
2443	S	COLONIA MARGARITA 
2445	S	CRISTOLIA 
2447	S	LOS SEMBRADOS 
2449	S	AVENA 
2451	S	COLONIA LA YERBA 
2453	S	CARLOS PELLEGRINI 
2454	S	CAÑADA ROSQUIN 
2456	S	ESMERALDA 
2500	S	CAÑADA DE GOMEZ 
2501	S	BERRETTA 
2503	S	VILLA ELOISA 
2505	S	CAMPO LA RIVIERE 
2506	S	CORREA 
2508	S	ARMSTRONG 
2512	S	CAMPO CHARO 
2520	S	LA CALIFORNIA 
2521	S	ITURRASPE 
2523	S	BOUQUET 
2527	S	COLONIA SAN FRANCISCO 
2529	S	PIAMONTE 
2531	S	LANDETA 
2533	S	LOS CARDOS 
2535	S	EL TREBOL 
2600	S	BOCA P 25 
2601	S	LA CHISPA 
2603	S	CHAPUY 
2605	S	OTTO BEMBERG 
2607	S	CAMPO QUIRNO 
2609	S	COLONIA MORGAN 
2611	S	ESTACION CHRISTOPHERSEN 
2613	S	LA MOROCHA 
2615	S	LA GAMA 
2617	S	SANCTI SPIRITU 
2618	S	CARMEN 
2622	S	MAGGIOLO 
2630	S	FIRMAT 
2631	S	CORA 
2633	S	CHOVET 
2635	S	CAÑADA DEL UCLE 
2637	S	COLONIA HANSEN 
2639	S	BERABEVU 
2643	S	CAFFERATA 
2700	B	BARRIO TROCHA 
2701	B	12 DE AGOSTO 
2703	B	CABO SAN FERMIN 
2705	B	HARAS SAN JACINTO 
2707	B	4 DE NOVIEMBRE 
2709	B	LOS INDIOS 
2711	B	ALMACEN PIATTI 
2713	B	MANUEL OCAMPO 
2715	B	EL SOCORRO 
2717	B	ACEVEDO 
2718	B	LIERRA ADJEMIRO 
2720	B	COLON 
2721	B	EL ARBOLITO 
2722	S	WHEELWRIGHT 
2723	B	ESTANCIA LAS GAMAS 
2725	S	HUGHES 
2726	S	LABORDEBOY 
2728	S	MELINCUE 
2729	S	CARRERAS 
2732	S	4 DE FEBRERO 
2740	B	ALMACEN LA COLINA 
2741	B	EL RETIRO 
2743	B	ARROYO DULCE 
2745	B	GAHAN 
2747	B	CORONEL ISLEÑOS 
2751	B	ALMACEN CASTRO 
2752	B	ALMACEN EL DESCANSO 
2754	B	CAMPO CRISOL 
2760	B	COLONIA LOS TRES USARIS 
2761	B	ESTANCIA SANTA CATALINA 
2763	B	FLAMENCO 
2764	B	CAMPO LA NENA 
2800	B	ARROYO AGUILA NEGRA 
2801	B	ALTO VERDE 
2802	B	LOMAS DEL RIO LUJAN 
2804	B	CAMPANA 
2805	B	ARROYO ALELI 
2806	B	LAS PALMAS 
