A	CHICOANA	2931	9
A	CHILCAS	2940	9
A	CHIRETE	2975	9
A	CHIVILME	2982	9
A	CHIYAYOC	2983	9
A	CHORRILLITOS	2995	9
A	CHORRILLOS	15642	9
A	CHORROARIN	3000	9
A	CHORRO BLANCO	2999	9
A	CHUCULAQUI	3012	9
A	CIERVO CANSADO	3045	9
A	COBA	3092	9
A	COBAS	3093	9
A	COBOS	3095	9
A	COLANZULI	3122	9
A	COLGADAS	3129	9
A	COLMENAR	3146	9
A	COLOME	3150	9
A	COLON	15655	9
A	COLONIA A	3169	9
A	COLONIA AGRICOLA SAN AGUSTIN	3179	9
A	COLONIA BUENAVENTURA	3271	9
A	COLONIA D	3331	9
A	COLONIA EL FUERTE	3383	9
A	COLONIA HURLINGHAM	3497	9
A	COLONIA OTOMANA	3759	9
A	COLONIA SANTA MARIA	15746	9
A	COLONIA SANTA ROSA	15751	9
A	COLONIA SANTA ROSA DE LIMA	3885	9
A	COLONIA ZANJA DEL TIGRE	3968	9
A	COLORADO	3975	9
A	COLTE	3978	9
A	CONCHAS	4011	9
A	CONDADO	4015	9
A	CONDOR	15764	9
A	COPO QUILE	4048	9
A	CORONEL CORNEJO	4084	9
A	CORONEL JUAN SOLA	4102	9
A	CORONEL MOLDES	15776	9
A	CORONEL MOLLINEDO	4109	9
A	CORONEL OLLEROS	4111	9
A	CORONEL VIDT	4121	9
A	COROPAMPA	4122	9
A	CORRALITO	15792	9
A	CORRALITO	20607	9
A	CORRAL QUEMADO	15784	9
A	CORRIDA DE CORI	4155	9
A	CORTADERAS	15800	9
A	CORZUELA	15804	9
A	COSME	4167	9
A	CRUZ QUEMADA	4278	9
A	CUCHIYACO	4315	9
A	CUESTA AZUL	4319	9
A	CUESTA CHICA	4321	9
A	CUESTA DEL OBISPO	4325	9
A	CURUZU	15819	9
A	DAMIAN N TORINO	4379	9
A	DIAMANTE	15824	9
A	DIAMANTE	20567	9
A	DIEGO DE ALMAGRO	4436	9
A	DIQUE EMBALSE CAMPO ALEGRE	4452	9
A	DIQUE ITIRUYO	4456	9
A	DIVISADERO	15827	9
A	DOCTOR FACUNDO ZUVIRIA	20596	9
A	DOCTOR FACUNDO ZUVIRIA	4491	9
A	DOS YUCHANES	4563	9
A	DRAGONES	4572	9
A	DURAZNITO	4584	9
A	DURAZNO	15844	9
A	DURAZNO	20665	9
A	EBRO	4594	9
A	EL ACHERAL	15850	9
A	EL ACHERAL	20655	9
A	EL AGUAY	4620	9
A	EL AGUILAR	15854	9
A	EL ALFREDITO	4634	9
A	EL ALGARROBAL	15865	9
A	EL ALGARROBO	15868	9
A	EL ALISAL	4639	9
A	EL ARENAL	15883	9
A	EL AYBAL	15887	9
A	EL BORDE DE SAN MIGUEL	4711	9
A	EL BORDO	15918	9
A	EL BORDO	20568	9
A	EL BORDO	20666	9
A	EL BORDO	20735	9
A	EL BORDO CAMPO SANTO	4714	9
A	EL BREAL	4721	9
A	EL BREALITO	4722	9
A	EL BRETE	15924	9
A	EL CANDADO	4750	9
A	EL CARANCHO	15940	9
A	EL CARMEN	15947	9
A	EL CARMEN	20597	9
A	EL CARMEN	20656	9
A	EL CARMEN	20678	9
A	EL CARMEN	20685	9
A	EL CARRIL	4774	9
A	EL CARRIZAL	15955	9
A	EL CEIBAL	15963	9
A	EL CEIBAL	20569	9
A	EL CEIBAL	20698	9
A	EL CHORRO	15992	9
A	EL CHURCAL	4851	9
A	EL CIENEGO	15996	9
A	EL COLEGIO	16000	9
A	EL COLGADO	4869	9
A	EL CONDOR	16006	9
A	EL CORRALITO	16010	9
A	EL CORRAL VIEJO	4882	9
A	EL CRESTON	4891	9
A	EL CUCHILLO	4904	9
A	EL CUIBAL	4907	9
A	EL CUINCO POZO DEL	4908	9
A	EL DESMONTE	16022	9
A	EL DESTIERRO	16024	9
A	EL DORADO	16034	9
A	EL ENCON	4944	9
A	EL ESPINILLO	16056	9
A	EL ESPINILLO	20699	9
A	EL ESTANQUE	16059	9
A	EL FRAILE	16061	9
A	EL GALLINATO	4977	9
A	EL GALPON EST FOGUISTA J F	4980	9
A	EL GOLGOTA	4987	9
A	EL GUANACO	16073	9
A	EL HUAICO	5012	9
A	EL JARAVI	5025	9
A	EL JARDIN	5026	9
A	EL LEONCITO	5048	9
A	EL LIBANO	5049	9
A	EL MANANTIAL	16093	9
A	EL MANZANO	16102	9
A	EL MARAY	5069	9
A	EL MIRADOR	16117	9
A	EL MISTOL	16119	9
A	EL MOLINO	16129	9
A	EL MOLLAR	16136	9
A	EL MOLLAR	20598	9
